3.3058	5.7942
3.4699	6.6262
0.8672	2.5809
3.0329	4.0078
3.4023	5.3059
1.7465	3.428
2.7475	4.2488
0.6408	7.1654
3.6903	1.5333
3.3481	5.8785
1.8764	0.8468
4.9166	1.8068
4.6263	4.9867
3.4163	3.2143
0.4642	6.7321
0.5079	5.4471
2.0784	2.2995
2.9298	0.8897
4.9431	3.9005
4.8759	2.1464
5.4225	4.5937
1.9481	5.9757
1.8649	0.5141
3.8838	4.3217
1.9157	2.1421
2.2147	3.7583
2.6525	3.3123
3.423	5.0314
0.2108	5.7918
1.4311	6.0459
4.8652	1.5599
0.7712	7.2402
3.5664	6.9454
3.4457	1.9645
1.8159	5.2726
2.7138	4.5074
2.6491	0.7055
0.5465	0.121
3.9169	5.0518
3.7409	5.6109
1.2686	7.8469
2.5249	3.6175
2.9686	2.9669
3.5205	3.8829
0.0857	4.5304
5.4801	4.0124
3.2718	1.2608
2.5246	5.3802
2.4337	7.8785
4.6642	6.3902
2.4765	5.079
1.403	0.0655
3.0106	4.0047
1.9225	8.6984
3.6453	3.6779
2.6798	2.8779
5.6776	7.2857
2.9303	8.0475
3.1103	4.2804
2.9223	4.9114
3.2159	1.3855
2.5843	3.3625
3.875	3.5643
3.0813	4.0418
4.5409	3.5635
3.1027	5.6307
1.7361	4.0797
5.1602	4.8389
1.3328	2.5368
1.2335	6.5918
3.0489	3.1007
1.6238	6.5002
4.6998	1.1948
2.1533	5.1252
1.8286	6.3253
4.2127	5.5298
4.6546	3.6306
4.0324	2.8761
0.9721	5.0052
0.4164	1.8661
0.2248	4.2343
4.6942	3.8697
6.0299	5.0016
2.887	7.8347
2.9652	4.1341
3.4178	4.8263
2.9618	0.9624
1.6505	1.1044
3.1472	4.8571
2.3398	4.3107
2.6829	10.4033
4.0559	4.0488
4.0179	5.8403
2.5637	3.6561
4.3613	1.7781
3.2394	3.6523
2.5689	1.3118
3.0272	4.5411
1.2547	3.3352
3.0192	3.8909
2.3608	1.0197
4.2552	4.0066
2.7715	6.0718
3.4046	5.5125
3.4729	7.1746
4.2072	5.6593
5.517	5.2674
1.8279	5.8864
3.1724	7.3521
3.4939	4.8581
1.3019	5.532
2.6168	7.8063
4.2845	0.6228
4.8164	4.8201
5.4294	3.4517
3.5028	3.7046
5.6743	3.4656
4.3358	4.8803
5.0348	5.1528
2.8969	4.7733
2.6746	0.2412
3.3708	4.5798
5.7922	1.5625
0.70492	5.2357
5.7832	3.5422
2.5484	4.5506
3.5594	1.1377
4.0554	4.6936
2.289	2.7081
2.8946	4.1495
2.0199	2.5205
3.0491	4.8517
3.2203	3.1854
4.1081	5.0475
3.2235	8.1143
0.5113	4.4173
4.3011	3.1339
3.4988	4.4609
1.8982	4.8198
3.8065	10.141
3.5225	1.2095
0.2038	3.8398
3.0562	3.0181
3.2444	6.8328
3.906	2.6952
6.0469	5.5181
2.8319	1.0064
4.0586	3.375
2.666	5.1803
2.5267	5.8167
0.3234	1.8787
2.9697	3.545
2.7328	5.5174
3.0262	3.8824
4.2004	2.0033
2.6807	4.0555
0.323	6.4709
3.2724	4.6728
2.4162	3.3918
3.1527	5.0209
0.8391	6.4989
3.5112	7.4897
2.1618	3.0261
4.3629	3.9575
2.5818	7.8718
0.9154	8.3945
2.1437	3.3518
1.7156	8.2323
3.3919	3.4446
3.1932	8.0068
1.3589	6.3017
1.8097	8.665
2.1956	5.2645
2.7885	6.2247
2.4916	2.7155
2.2475	9.7914
5.1998	3.0288
1.1263	6.5664
3.1205	4.9479
5.2264	4.6875
3.0216	3.5224
2.8433	4.1232
4.3867	5.9107
5.0781	4.0895
3.1698	5.4773
3.1054	3.1146
3.3204	2.5995
4.6675	8.5623
1.1951	3.2261
1.1943	1.882
3.7623	9.4668
2.1492	2.0208
6.0286	3.9017
4.2691	1.1522
3.1983	0.5283
1.0015	7.3849
3.7757	4.0418
1.9479	5.0147
1.984	7.8905
